,Price,Cities,departure_time,arrival_time,layeover,Airline,Cabin
0," 5,124","Kolkata to Mumbai , 15 Apr",23:00,07:40,1 stop via Hyderabad,IndiGo,E
1," 5,124","Kolkata to Mumbai , 15 Apr",23:00,09:40,1 stop via Hyderabad,IndiGo,E
2," 4,800","Kolkata to Bengaluru , 15 Apr",23:00,08:20,1 stop via Hyderabad,IndiGo,E
3," 5,229","Kolkata to Hyderabad , 15 Apr",23:00,01:05,Non stop,IndiGo,E
4," 5,019","Kolkata to Kochi , 15 Apr",23:00,09:30,1 stop via Hyderabad,IndiGo,E
5," 6,962","Kolkata to Goa , 15 Apr",23:00,06:15,1 stop via Hyderabad,IndiGo,E
6," 6,043","Kolkata to Thiruvananthapuram , 15 Apr",23:00,10:40,1 stop via Hyderabad,IndiGo,E
7," 6,298","Kolkata to Coimbatore , 15 Apr",23:00,10:00,1 stop via Hyderabad,IndiGo,E
8," 6,321","Kolkata to Visakhapatnam , 15 Apr",23:00,08:20,1 stop via Hyderabad,IndiGo,E
9," 4,244","Kolkata to Raipur , 15 Apr",23:00,09:45,1 stop via Hyderabad,IndiGo,E
10," 5,937","Kolkata to Mangalore , 15 Apr",23:00,07:45,1 stop via Hyderabad,IndiGo,E
11," 7,312","Goa to New Delhi , 15 Apr",23:10,09:10,1 stop via Mumbai,Air India,E
12," 7,312","Goa to New Delhi , 15 Apr",23:10,11:10,"2 stop via Mumbai,Indore",Air India,E
13," 7,312","Goa to New Delhi , 15 Apr",23:10,12:15,1 stop via Mumbai,Air India,E
14," 10,357","Goa to New Delhi , 15 Apr",23:10,15:15,"2 stop via Mumbai,Hyderabad",Air India,E
15," 10,357","Goa to New Delhi , 15 Apr",23:10,18:30,"2 stop via Mumbai,Hyderabad",Air India,E
16," 3,007","Goa to Mumbai , 15 Apr",23:10,00:35,Non stop,Air India,E
17," 6,682","Goa to Bengaluru , 15 Apr",23:10,11:10,1 stop via Mumbai,Air India,E
18," 9,097","Goa to Bengaluru , 15 Apr",23:10,10:25,"2 stop via Mumbai,Hyderabad",Air India,E
19," 6,052","Goa to Hyderabad , 15 Apr",23:10,08:00,1 stop via Mumbai,Air India,E
20," 8,365","Goa to Hyderabad , 15 Apr",23:10,23:35,"3 stop via Mumbai,Indore,New Delhi",Air India,E
21," 8,365","Goa to Hyderabad , 15 Apr",23:10,23:35,"2 stop via Mumbai,New Delhi",Air India,E
22," 10,357","Goa to Hyderabad , 15 Apr",23:10,11:50,"2 stop via Mumbai,Chennai",Air India,E
23," 10,357","Goa to Hyderabad , 15 Apr",23:10,20:35,"2 stop via Mumbai,Chennai",Air India,E
24," 10,357","Goa to Hyderabad , 15 Apr",23:10,20:35,"2 stop via Mumbai,Chennai",Air India,E
25," 7,312","Goa to Chennai , 15 Apr",23:10,07:15,1 stop via Mumbai,Air India,E
26," 8,572","Goa to Kolkata , 15 Apr",23:10,08:50,1 stop via Mumbai,Air India,E
27," 9,055","Goa to Kochi , 15 Apr",23:20,09:35,1 stop via Kannur,IndiGo,E
28," 9,097","Goa to Kochi , 15 Apr",23:10,20:45,"2 stop via Mumbai,Bengaluru",Air India,E
29," 10,987","Goa to Kochi , 15 Apr",23:10,09:10,"2 stop via Mumbai,Chennai",Air India,E
30," 14,032","Goa to Kochi , 15 Apr",23:10,17:55,"4 stop via Mumbai,Indore,New Delhi,Thiruvananthapuram",Air India,E
31," 14,032","Goa to Kochi , 15 Apr",23:10,17:55,"3 stop via Mumbai,New Delhi,Thiruvananthapuram",Air India,E
32," 11,617","Goa to Pune , 15 Apr",23:10,18:10,"2 stop via Mumbai,New Delhi",Air India,E
33," 11,617","Goa to Pune , 15 Apr",23:10,18:10,"2 stop via Mumbai,New Delhi",Air India,E
34," 11,617","Goa to Pune , 15 Apr",23:10,18:10,"3 stop via Mumbai,Indore,New Delhi",Air India,E
35," 10,125","Goa to Guwahati , 15 Apr",23:10,11:05,"2 stop via Mumbai,Kolkata",Air India,E
36," 7,312","Goa to Lucknow , 15 Apr",23:10,10:30,1 stop via Mumbai,Air India,E
37," 9,520","Goa to Lucknow , 15 Apr",23:10,19:40,"2 stop via Mumbai,New Delhi",Air India,E
38," 9,520","Goa to Lucknow , 15 Apr",23:10,19:40,"2 stop via Mumbai,New Delhi",Air India,E
39," 9,520","Goa to Lucknow , 15 Apr",23:10,19:40,"3 stop via Mumbai,Indore,New Delhi",Air India,E
40," 11,565","Goa to Lucknow , 15 Apr",23:10,15:00,"3 stop via Mumbai,New Delhi,Gorakhpur",Air India,E
41," 12,247","Goa to Lucknow , 15 Apr",23:10,16:20,"2 stop via Mumbai,Bengaluru",Air India,E
42," 6,682","Goa to Jaipur , 15 Apr",23:10,13:15,1 stop via Mumbai,Air India,E
43," 8,365","Goa to Jaipur , 15 Apr",23:10,12:55,"2 stop via Mumbai,New Delhi",Air India,E
44," 9,990","Goa to Jaipur , 15 Apr",23:10,20:35,"2 stop via Mumbai,New Delhi",Air India,E
45," 9,990","Goa to Jaipur , 15 Apr",23:10,20:35,"3 stop via Mumbai,Indore,New Delhi",Air India,E
46," 8,572","Goa to Patna , 15 Apr",23:10,10:20,1 stop via Mumbai,Air India,E
47," 12,247","Goa to Patna , 15 Apr",23:10,20:40,"2 stop via Mumbai,Kolkata",Air India,E
48," 12,247","Goa to Patna , 15 Apr",23:10,21:20,"2 stop via Mumbai,Bengaluru",Air India,E
49," 12,982","Goa to Patna , 15 Apr",23:10,15:20,"2 stop via Mumbai,New Delhi",Air India,E
50," 12,982","Goa to Patna , 15 Apr",23:10,15:20,"2 stop via Mumbai,New Delhi",Air India,E
51," 15,292","Goa to Thiruvananthapuram , 15 Apr",23:10,16:20,"2 stop via Mumbai,New Delhi",Air India,E
52," 15,292","Goa to Thiruvananthapuram , 15 Apr",23:10,16:20,"3 stop via Mumbai,Indore,New Delhi",Air India,E
53," 7,312","Goa to Bhubaneswar , 15 Apr",23:10,14:25,1 stop via Mumbai,Air India,E
54," 11,617","Goa to Bhubaneswar , 15 Apr",23:10,20:55,"2 stop via Mumbai,New Delhi",Air India,E
55," 11,617","Goa to Bhubaneswar , 15 Apr",23:10,20:55,"3 stop via Mumbai,Indore,New Delhi",Air India,E
56," 11,617","Goa to Bhubaneswar , 15 Apr",23:10,20:55,"2 stop via Mumbai,New Delhi",Air India,E
